ID,Experimental_Design
1,Quantitative
2,Quantitative
3,Quantitative
4,Case-based
5,Quantitative
6,Quantitative
7,Quantitative
8,Quantitative
9,Quantitative
10,Quantitative
11,Quantitative
12,Quantitative
13,Qualitative
14,Quantitative
15,Qualitative
16,Quantitative
17,Quantitative
18,Quantitative
19,Quantitative
20,Quantitative
21,Quantitative
22,Quantitative
23,Quantitative
24,Quantitative
25,Quantitative
26,Quantitative
27,Quantitative
28,Quantitative
29,Quantitative
30,Quantitative
31,Quantitative
32,Quantitative
33,Quantitative
34,Quantitative
35,Quantitative
36,Mixed
37,Quantitative
38,Quantitative
39,Quantitative
40,Quantitative
41,Quantitative
42,Quantitative
43,Quantitative
44,Quantitative
45,Quantitative
46,Quantitative
47,Quantitative
48,Quantitative
49,Quantitative
50,Quantitative
51,Quantitative
52,Quantitative
53,Quantitative
54,Quantitative
55,Quantitative
56,Quantitative
57,Qualitative
58,Quantitative
59,Mixed
60,Quantitative
61,Quantitative
62,Quantitative
63,Quantitative
64,Quantitative
65,Quantitative
66,Quantitative
67,Quantitative
68,Quantitative
69,Quantitative
70,Quantitative
71,Case-based
72,Qualitative
73,Quantitative
74,Quantitative
75,Quantitative
76,Quantitative
77,Qualitative
78,Quantitative
