ID,Research_Area
1,Artificial Intelligence
2,Simulation
3,Artificial Intelligence
4,Artificial Intelligence
5,Artificial Intelligence
6,Artificial Intelligence
7,Simulation
8,Blockchain
9,Industrial Systems
10,Blockchain
11,Industrial Systems
12,Simulation
13,Simulation
14,Simulation
15,Simulation
16,Artificial Intelligence
17,Artificial Intelligence
18,Blockchain
19,Artificial Intelligence
20,Artificial Intelligence
21,Artificial Intelligence
22,Artificial Intelligence
23,Industrial Systems
24,Artificial Intelligence
25,Artificial Intelligence
26,Artificial Intelligence
27,Artificial Intelligence
28,Industrial Systems
29,Artificial Intelligence
30,Artificial Intelligence
31,Simulation
32,Artificial Intelligence
33,Artificial Intelligence
34,Industrial Systems
35,Social Computing
36,Artificial Intelligence
37,Artificial Intelligence
38,Artificial Intelligence
39,Artificial Intelligence
40,Artificial Intelligence
41,Artificial Intelligence
42,Artificial Intelligence
43,Artificial Intelligence
44,Artificial Intelligence
45,Industrial Systems
46,Artificial Intelligence
47,Industrial Systems
48,Simulation
49,Industrial Systems
50,Blockchain
51,Industrial Systems
52,Artificial Intelligence
53,Artificial Intelligence
54,Artificial Intelligence
55,Artificial Intelligence
56,Social Computing
57,Artificial Intelligence
58,Blockchain
59,Social Computing
60,Industrial Systems
61,Simulation
62,Artificial Intelligence
63,Social Computing
64,Artificial Intelligence
65,Industrial Systems
66,Industrial Systems
67,Artificial Intelligence
68,Artificial Intelligence
69,Artificial Intelligence
70,Simulation
71,Industrial Systems
72,Blockchain
73,Artificial Intelligence
74,Industrial Systems
75,Industrial Systems
76,Simulation
77,Artificial Intelligence
78,Simulation
