ID,Source_Name
1,IEEE Transactions On Computational Social Systems
2,"International Conference On Control, Robotics And Cybernetics (crc)"
3,Procedia Computer Science
4,Alexandria Engineering Journal
5,IEEE Journal On Selected Areas In Communications
6,Wireless And Optical Communications Conference (wocc)
7,IEEE Transactions On Intelligent Vehicles
8,IEEE Internet Of Things Journal
9,IEEE Internet Of Things Journal
10,Computer Networks
11,IEEE Transactions On Computational Social Systems
12,Virtual Reality & Intelligent Hardware
13,Equilibrium. Quarterly Journal Of Economics And Economic Policy
14,Image And Vision Computing
15,Proceedings Of The IEEE
16,Technical Report - Russian Science Foundation
17,International Conference On Computing Communication And Networking Technologies (icccnt)
18,IEEE Transactions On Industrial Informatics
19,Sustainable Energy Technologies And Assessments
20,International Wireless Communications & Mobile Computing Conference
21,IEEE International Conference on Metaverse Computing (MetaCom)
22,IEEE Conference (unspecified)
23,IEEE/CIC International Conference on Communications in China (ICCC Workshops)
24,"IEEE International Conference on Sensing, Communication, and Networking (SECON)"
25,Journal Of Computational Science
26,IEEE Internet Of Things Journal
27,"IEEE Transactions On Systems, Man, And Cybernetics: Systems"
28,IEEE Journal On Selected Areas In Communications
29,Applied Sciences
30,IEEE Transactions On Mobile Computing
31,"IEEE Transactions On Systems, Man, And Cybernetics: Systems"
32,IEEE Internet Of Things Journal
33,Computer Networks
34,IEEE Transactions On Cognitive Communications And Networking
35,IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW)
36,Journal Of Artificial Intelligence And Consciousness
37,IEEE INFOCOM Workshops
38,IEEE Internet Of Things Journal
39,IEEE Transactions On Wireless Communications
40,ACM Web Conference 2023 Companion Proceedings
41,IEEE Transactions On Vehicular Technology
42,IEEE Journal On Selected Areas In Communications
43,IEEE Transactions On Mobile Computing
44,IEEE Journal On Selected Areas In Communications
45,IEEE Global Communications Conference (globecom)
46,IEEE Conference On Computer Software And Applications (compsac)
47,IEEE Transactions On Mobile Computing
48,Internal Technical Report - KeCui Beijing
49,IEEE Internet Of Things Journal
50,IEEE International Conference on Metaverse Computing (MetaCom)
51,Sensors (mdpi)
52,Ieee/acm Transactions On Networking
53,IEEE Journal On Selected Areas In Communications
54,International Conference On Intelligent Metaverse Technologies & Applications (imeta)
55,IEEE Internet Of Things Journal
56,Heliyon
57,Jmirx Med
58,International Journal Of Web Services Research
59,Knowledge Of Library And Information Science
60,ACM Web Conference 2023 Companion Proceedings
61,IEEE Transactions On Computational Intelligence And Ai In Games
62,Ieee/caa Journal Of Automatica Sinica
63,IEEE Transactions On Computational Social Systems
64,IEEE Internet Of Things Journal
65,IEEE Internet Of Things Journal
66,Digital Communications And Networks
67,IEEE Journal On Selected Areas In Communications
68,International Symposium On Computers In Education
69,IEEE Smart World Congress (swc)
70,IEEE Smartworld/uic/scalcom/digitaltwin/pricomp/metaverse
71,IoT (Journal)
72,AAMAS (Autonomous Agents and Multiagent Systems)
73,IEEE Global Communications Conference (gc Wkshps)
74,"Eai International Conference, Iniscom 2024"
75,IEEE Transactions On Vehicular Technology
76,IEEE Transactions On Communications
77,Information Technology And Implementation
78,IEEE Access
