Platform_Type,Agent_Role,Article_IDs
Blockchain-based,Assistant,"[4, 92, 124, 130, 134]"
Blockchain-based,Avatar,"[21, 55, 78, 91, 118, 130, 134]"
Blockchain-based,Coordinator,"[15, 16, 22, 23, 24, 29, 42, 46, 56, 58, 78, 92, 95, 108, 109, 110, 112, 124, 130, 134]"
Blockchain-based,Environment simulator,"[29, 42, 55, 56, 124, 134]"
Blockchain-based,Executor,"[4, 15, 16, 21, 22, 23, 24, 42, 46, 55, 56, 58, 78, 91, 95, 118, 124, 130, 134]"
Digital twins,Assistant,"[68, 90, 124, 126, 134, 135, 137]"
Digital twins,Avatar,"[19, 21, 55, 77, 104, 123, 125, 129, 132, 134, 136]"
Digital twins,Coordinator,"[1, 2, 5, 10, 12, 13, 15, 16, 19, 20, 23, 26, 27, 29, 30, 31, 34, 35, 38, 39, 40, 41, 42, 44, 46, 48, 49, 53, 56, 59, 61, 63, 65, 66, 67, 70, 72, 73, 75, 77, 81, 82, 83, 84, 86, 87, 89, 90, 93, 95, 96, 97, 98, 101, 102, 104, 111, 113, 116, 123, 124, 125, 126, 129, 132, 134, 135, 136, 137]"
Digital twins,Environment simulator,"[3, 26, 29, 37, 39, 40, 42, 53, 55, 56, 70, 104, 124, 126, 128, 129, 134, 135, 136, 137]"
Digital twins,Executor,"[1, 2, 3, 5, 10, 12, 13, 15, 16, 19, 20, 21, 23, 26, 27, 28, 30, 31, 34, 37, 38, 39, 40, 41, 42, 44, 46, 48, 49, 53, 55, 56, 59, 61, 63, 65, 66, 67, 68, 69, 70, 72, 73, 75, 77, 81, 82, 83, 84, 86, 87, 89, 90, 95, 98, 104, 123, 124, 125, 126, 129, 134, 135, 136, 137]"
Game-based,Assistant,"[7, 36]"
Game-based,Avatar,"[7, 25, 36, 71]"
Game-based,Coordinator,"[60, 62, 64, 98, 127]"
Game-based,Environment simulator,"[7, 9, 131]"
Game-based,Executor,"[9, 25, 33, 60, 62, 64, 71, 98, 127, 131]"
Social simulation,Assistant,"[7, 36, 43, 134]"
Social simulation,Avatar,"[7, 19, 36, 50, 79, 80, 104, 122, 125, 134]"
Social simulation,Coordinator,"[6, 8, 10, 14, 17, 18, 19, 29, 32, 39, 43, 44, 45, 47, 49, 51, 52, 53, 54, 57, 58, 59, 60, 73, 79, 85, 94, 103, 104, 115, 117, 121, 122, 125, 127, 134]"
Social simulation,Environment simulator,"[3, 6, 7, 9, 11, 29, 37, 39, 50, 53, 76, 80, 104, 131, 133, 134]"
Social simulation,Executor,"[3, 8, 9, 10, 11, 14, 17, 18, 19, 32, 37, 39, 43, 44, 45, 47, 49, 51, 52, 53, 54, 57, 58, 59, 60, 73, 76, 80, 85, 94, 104, 121, 125, 127, 131, 133, 134]"
VR/AR,Assistant,"[7, 68, 90, 92, 126, 130, 135]"
VR/AR,Avatar,"[7, 19, 25, 50, 55, 71, 77, 78, 80, 91, 119, 122, 123, 130, 132, 136]"
VR/AR,Coordinator,"[2, 6, 8, 14, 19, 20, 26, 27, 29, 38, 39, 42, 45, 46, 48, 51, 53, 56, 62, 64, 66, 67, 70, 72, 74, 77, 78, 81, 82, 86, 87, 88, 89, 90, 92, 99, 100, 101, 102, 105, 106, 107, 114, 115, 120, 122, 123, 126, 130, 132, 135, 136]"
VR/AR,Environment simulator,"[6, 7, 9, 26, 29, 39, 42, 50, 53, 55, 56, 70, 80, 126, 128, 135, 136]"
VR/AR,Executor,"[2, 8, 9, 14, 19, 20, 25, 26, 27, 28, 33, 38, 39, 42, 45, 46, 48, 51, 53, 55, 56, 62, 64, 66, 67, 68, 70, 71, 72, 74, 77, 78, 80, 81, 82, 86, 87, 88, 89, 90, 91, 99, 120, 123, 126, 130, 135, 136]"
