ID,Title,Platform_Typ_R1,Platform_Typ_R2,Agent_Role_R1,Agent_Role_R2,Application_Domain_R1,Application_Domain_R2,Evaluation_Method_R1,Evaluation_Method_R2,Metrics_R1,Metrics_R2,Challenges_R1,Challenges_R2
1,A Bayesian Framework-Based Digital Twin Wireless System Control,['Digital twins'],['Digital twins'],"['Coordinator', 'Executor']","['Coordinator', 'Executor']","['Industry 4.0', 'Smart cities']","['Industry 4.0', 'Smart cities']",['Simulation'],['Simulation'],"['Efficiency', 'Accuracy']","['Efficiency', 'Accuracy']","['Scalability', 'Trust', 'Ethics']","['Scalability', 'Trust', 'Ethics']"
2,A Cloud-Edge Service Offloading Method for Smart Manufacturing Metaverse,"['VR/AR', 'Digital twins']","['VR/AR', 'Digital twins']","['Executor', 'Coordinator']","['Executor', 'Coordinator']",['Smart cities'],['Smart cities'],['Simulation'],['Simulation'],"['Task completion', 'Accuracy']","['QoS', 'Privacy']","['Scalability', 'Trust', 'Ethics']","['Scalability', 'Trust', 'Ethics']"
3,A Conceptual Framework for Digital Twins of Multi-Agent Systems,"['Digital twins', 'Social simulation']","['Digital twins', 'Social simulation']","['Executor', 'Environment simulator']","['Executor', 'Environment simulator']","['Healthcare', 'Smart cities']","['Healthcare', 'Smart cities']",['Simulation'],['Simulation'],"['Accuracy', 'Realism']","['Accuracy', 'Realism']","['Scalability', 'Realism']","['Scalability', 'Realism']"
4,A Distributed Asset Trading Mechanism Based on Automated Negotiation,['Blockchain-based'],['Blockchain-based'],"['Executor', 'Assistant']","['Executor', 'Assistant']","['Smart cities', 'Education']","['Smart cities', 'Education']",['Simulation'],['Simulation'],"['Task completion', 'Accuracy', 'Latency']","['Task completion', 'Accuracy', 'Latency', 'Security'] ",['Trust'],['Trust']
5,A Graph-Assisted Digital-Twin-Driven Multiagent Shared Offloading for Internet of Vehicles,['Digital twins'],['Digital twins'],"['Executor', 'Coordinator']","['Executor', 'Coordinator']",['Smart cities'],['Smart cities'],['Simulation'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']","['Scalability', 'Realism']"
6,A Metaverse-Based Teaching Building Evacuation Training System With Deep Reinforcement Learning,"['VR/AR', 'Social simulation']","['VR/AR', 'Social simulation']","['Coordinator', 'Environment simulator']","['Coordinator', 'Environment simulator']","['Education', 'Emergency response']","['Education', 'Emergency response']",['Simulation'],['Simulation'],"['Task completion', 'Realism']","['Task completion', 'Realism']","['Realism', 'Scalability']","['Realism', 'Scalability']"
7,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges","['VR/AR', 'Game-based', 'Social simulation']","['VR/AR', 'Game-based', 'Social simulation']","['Avatar', 'Assistant', 'Environment simulator']","['Avatar', 'Assistant', 'Environment simulator']","['Education', 'Gaming', 'Social interaction', 'Healthcare']","['Education', 'Gaming', 'Social interaction', 'Healthcare']","['Simulation', 'Case studies']",['Simulation'],"['Realism', 'Accuracy', 'User satisfaction']","['Realism', 'Accuracy', 'User satisfaction']","['Scalability', 'Ethics', 'Realism']","['Scalability', 'Ethics', 'Realism']"
8,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,"['VR/AR', 'Social simulation']","['VR/AR', 'Social simulation']","['Coordinator', 'Executor']","['Coordinator', 'Executor']","['Education', 'Gaming', 'Industry 4.0', 'Smart cities']","['Education', 'Gaming', 'Industry 4.0', 'Smart cities']",['Simulation'],['Simulation'],"['Latency', 'Task completion', 'Accuracy']","['Latency', 'Task completion', 'Accuracy']","['Scalability', 'Trust']","['Scalability', 'Trust']"
9,A Review of Platforms for Simulating Embodied Agents in 3D Virtual Environments,"['Game-based', 'Social simulation', 'VR/AR']","['Game-based', 'Social simulation', 'VR/AR']","['Executor', 'Environment simulator']","['Executor', 'Environment simulator']","['Gaming', 'Smart cities', 'Education']","['Gaming', 'Smart cities', 'Education']","['Simulation', 'Benchmarks']","['Simulation', 'Benchmarks']","['Realism', 'Accuracy', 'Task completion']","['Realism', 'Accuracy', 'Task completion']","['Scalability', 'Realism', 'Interoperability']","['Scalability', 'Realism', 'Interoperability']"
10,A Robot Augmented Environment Based on ROS multi-Agent Structure,"['Digital twins', 'Social simulation']","['Digital twins', 'Social simulation']","['Executor', 'Coordinator']","['Executor', 'Coordinator']",['Industry 4.0'],['Industry 4.0'],['Simulation'],['Simulation'],"['Task completion', 'Accuracy']","['Task completion', 'Accuracy']","['Realism', 'Interoperability']","['Realism', 'Interoperability']"
